RC1-after,,
wcA,DF,1stO Diff
1203.16,7.16,-0.01
1225.01,7.38,0.22
1249.05,7.52,0.14
1249.17,7.47,-0.05
1249.3,7.451,-0.019
1272.52,7.62,0.169
1272.66,7.59,-0.03
1272.8,7.58,-0.01
1290.786864,7.716864407,0.136864407
1291.01,7.718562275,0.001697868
1297.77,7.77,0.051437725
1297.92,7.73,-0.04
1298.05,7.711,-0.019
1313.120594,7.810593699,0.099593699
1313.3,7.811779302,0.001185603
1322.11,7.87,0.058220698
1322.22,7.82,-0.05
1322.36,7.83,0.01
1343.94,7.95,0.12
1344.08,7.92,-0.03
1344.23,7.89,-0.03
1369.16,8.08,0.19
1369.29,8.04,-0.04
1369.42,8.01,-0.03
1393.42,8.18,0.17
1393.55,8.13,-0.05
1393.69,8.1,-0.03
1418.44,8.28,0.18
1418.57,8.24,-0.04
1418.72,8.25,0.01
1419.4,8.254437194,0.004437194
1443.24,8.41,0.155562806
1443.4,8.38,-0.03
1443.51,8.36,-0.02
1467.31,8.56,0.2
1467.45,8.52,-0.04
1467.58,8.5,-0.02
1492.21,8.71,0.21
1492.32,8.64,-0.07
1492.45,8.65,0.01
1517.19,8.84,0.19
1517.32,8.78,-0.06
1517.44,8.76,-0.02
1541.67,8.94,0.18
1541.8,8.93,-0.01
1541.92,8.85,-0.08
1566,9.07,0.22
1566.16,9.04,-0.03
1566.29,9.02,-0.02
1590.4,9.17,0.15
1590.55,9.15,-0.02
1590.69,9.14,-0.01
1615.53,9.31,0.17
1615.67,9.25,-0.06
1615.8,9.24,-0.01
1640.03,9.36,0.12
1640.17,9.35,-0.01
1640.3,9.32,-0.03
1650.74,9.41,0.09
1659.197299,9.467298772,0.057298772
1658.71,9.46399729,-0.003301482
1665.298636,9.508635744,0.044638454
1665.37,9.509119241,0.000483498
1665.5,9.51,0.000880759
1665.62,9.48,-0.03
1689.79,9.7,0.22
1689.95,9.65,-0.05
1690.07,9.63,-0.02
1713.09,9.79,0.16
1713.23,9.76,-0.03
1713.36,9.72,-0.04
