RC2-after,,
wcAi,DF,1st Diff
165748.76,-1000.98,-0.35
165796.4,-1001.23,-0.25
165844.87,-1001.65,-0.42
165893.16,-1001.98,-0.33
165941.47,-1002.69,-0.71
165989.24,-1003.08,-0.39
166037.56,-1003.37,-0.29
166085.99,-1003.83,-0.46
166134.31,-1004.57,-0.74
166182.53,-1004.98,-0.41
166231.01,-1005.62,-0.64
166279.34,-1005.93,-0.31
166327.67,-1006.26,-0.33
166376,-1006.58,-0.32
166424.56,-1007.81,-1.23
166472.84,-1008.09,-0.28
166521.41,-1008.33,-0.24
166569.74,-1009.38,-1.05
166618.07,-1009.8,-0.42
166666.36,-1010.05,-0.25
166714.1,-1010.36,-0.31
166762.42,-1010.62,-0.26
166810.7,-1010.88,-0.26
166858.99,-1011.17,-0.29
166907.24,-1011.43,-0.26
166955.57,-1012.13,-0.7
167003.88,-1012.38,-0.25
167052.24,-1012.6,-0.22
167100.53,-1013.65,-1.05
167148.85,-1013.96,-0.31
167197.18,-1014.21,-0.25
167245.45,-1015.11,-0.9
167294.24,-1015.4,-0.29
167341.77,-1016.42,-1.02
167390.11,-1016.74,-0.32
167438.44,-1016.98,-0.24
167486.74,-1017.64,-0.66
167523.43,-1017.92,-0.28
167571.74,-1018.24,-0.32
167620,-1018.83,-0.59
167668.32,-1019.04,-0.21
167716.66,-1019.29,-0.25
167764.91,-1019.6,-0.31
167813.22,-1019.92,-0.32
167861.58,-1020.71,-0.79
167909.94,-1021.39,-0.68
167958.22,-1021.77,-0.38
167998.76,-1022.05,-0.28
168046.54,-1022.29,-0.24
168092.43,-1023.19,-0.9
168140.67,-1023.57,-0.38
168189,-1023.9,-0.33
168236.61,-1024.37,-0.47
168244.78,-1024.43,-0.06
168292.25,-1024.61,-0.18
168340.56,-1024.88,-0.27
168388.94,-1025.14,-0.26
168436.62,-1025.38,-0.24
168484.92,-1025.64,-0.26
168533.2,-1025.96,-0.32
168581.56,-1026.23,-0.27
168629.26,-1026.46,-0.23
168677.57,-1027.6,-1.14
168725.83,-1028.04,-0.44
168774.2,-1029.02,-0.98
168804.62,-1029.38,-0.36
168822.54,-1029.47,-0.09
168870.9,-1030.31,-0.84
168913.9,-1030.7,-0.39
168962.12,-1031.48,-0.78
168989.62,-1031.63,-0.15
169006.37,-1031.71,-0.08
169070.16,-1032.04,-0.33
169133.79,-1033.36,-1.32
169197.47,-1033.71,-0.35
169261.38,-1034.11,-0.4
169317.24,-1034.42,-0.31
169359.26,-1034.03,0.39
169372.02,-1034.2,-0.17
169381.16,-1034.79,-0.59
169442.07,-1035.89,-1.1
169444.93,-1035.81,0.08
169508.58,-1036.33,-0.52
169509.29,-1036.34,-0.01
169572.24,-1037.74,-1.4
169623.78,-1038.18,-0.44
169633.1713,-1038.268653,-0.088653367
169645.1582,-1038.381808,-0.113154613
169638.09,-1038.315085,0.066723021
169687.34,-1038.78,-0.464915041
169750.65,-1039.13,-0.35
169814.37,-1039.51,-0.38
169874.33,-1039.83,-0.32
169937.77,-1040.31,-0.48
169986,-1040.54,-0.23
170048.67,-1040.99,-0.45
170112.19,-1041.36,-0.37
170159.05,-1041.68,-0.32
170222.56,-1042.05,-0.37
170286.08,-1042.5,-0.45
170350.01,-1042.77,-0.27
170413.9,-1043.16,-0.39
170477.46,-1043.47,-0.31
170528.28,-1043.75,-0.28
170590.5,-1044.08,-0.33
170654.02,-1044.39,-0.31
170717,-1044.76,-0.37
170780.72,-1045.06,-0.3
170844.58,-1045.36,-0.3
170908.04,-1045.65,-0.29
170971.8,-1045.98,-0.33
171035.44,-1046.31,-0.33
171099.21,-1046.63,-0.32
171162.68,-1047,-0.37
171225.84,-1047.32,-0.32
171289.5,-1047.72,-0.4
171353.44,-1048.03,-0.31
171407.33,-1048.38,-0.35
171470.98,-1048.73,-0.35
171534.6,-1049.11,-0.38
171598.05,-1049.44,-0.33
171661.51,-1049.82,-0.38
171725.52,-1050.15,-0.33
171789.31,-1050.5,-0.35
171852.87,-1050.81,-0.31
171916.55,-1051.2,-0.39
171980.29,-1051.59,-0.39
172044.09,-1051.92,-0.33
172107.39,-1052.33,-0.41
172171.2,-1052.65,-0.32
172225.31,-1052.99,-0.34
172289.23,-1053.38,-0.39
172352.72,-1053.67,-0.29
172416.5,-1054.01,-0.34
172480.23,-1054.38,-0.37
172543.48,-1054.7,-0.32
172595.25,-1054.95,-0.25
172658.57,-1055.36,-0.41
172694.99,-1055.6,-0.24
172758.65,-1056.04,-0.44
172822.47,-1056.25,-0.21
172886.59,-1056.6,-0.35
172950.36,-1056.96,-0.36
173014.02,-1057.3,-0.34
173077.52,-1057.69,-0.39
173141.3,-1057.98,-0.29
173204.51,-1058.36,-0.38
173268.36,-1058.65,-0.29
173332.05,-1059.06,-0.41
173395.95,-1059.36,-0.3
173459.16,-1059.75,-0.39
173523.01,-1060.05,-0.3
173586.91,-1060.45,-0.4
173650.62,-1060.73,-0.28
173703.18,-1061.2,-0.47
173766.9,-1061.45,-0.25
173830.65,-1061.9,-0.45
173894.01,-1062.25,-0.35
173957.68,-1062.63,-0.38
174020.79,-1062.92,-0.29
174076.15,-1063.25,-0.33
174139.7,-1063.57,-0.32
174203.39,-1063.83,-0.26
174229.35,-1063.94,-0.11
174234.39,-1064.09,-0.15
174235.52,-1064.31,-0.22
174266.97,-1064.23,0.08
174317.13,-1064.63,-0.4
174330.84,-1064.61,0.02
174376.11,-1064.82,-0.21
174439.95,-1065.22,-0.4
174503.21,-1065.63,-0.41
174566.4,-1066.03,-0.4
174624.95,-1066.41,-0.38
174688.65,-1066.74,-0.33
174752.33,-1067.19,-0.45
174816.22,-1067.55,-0.36
174879.22,-1067.98,-0.43
174906.77,-1067.66,0.32
174942.2,-1068.25,-0.59
174952,-1068.28,-0.03
175002.15,-1068.73,-0.45
175065.72,-1069.71,-0.98
175119.87,-1070.01,-0.3
175174.47,-1070.32,-0.31
175238.24,-1070.89,-0.57
175278.45,-1071.17,-0.28
175340.04,-1071.8,-0.63
175382.78,-1070.75,1.05
175403.16,-1072.16,-1.41
175421.04,-1071.41,0.75
175466.69,-1072.53,-1.12
175530.1,-1072.89,-0.36
175593.92,-1073.21,-0.32
175657.58,-1073.57,-0.36
175721.15,-1073.93,-0.36
175784.99,-1074.21,-0.28
175847.75,-1074.56,-0.35
175910.39,-1074.83,-0.27
175973.75,-1075.24,-0.41
176037.42,-1075.61,-0.37
176100.6,-1076,-0.39
176164.34,-1076.29,-0.29
176227.85,-1076.7,-0.41
176291.78,-1076.96,-0.26
176355.49,-1077.33,-0.37
176419.28,-1077.6,-0.27
176482.89,-1078,-0.4
176538.58,-1078.32,-0.32
176602.11,-1078.76,-0.44
176657.76,-1079.07,-0.31
176721.23,-1079.42,-0.35
176784.63,-1079.8,-0.38
176841.2,-1080.1,-0.3
176904.49,-1080.57,-0.47
176958.79,-1080.82,-0.25
177014.05,-1081.18,-0.36
177040.53,-1081.32,-0.14
177067.78,-1081.46,-0.14
177130.62,-1081.83,-0.37
177171.36,-1082.09,-0.26
177235.23,-1082.54,-0.45
177288,-1082.85,-0.31
177351.79,-1083.08,-0.23
177415.52,-1083.5,-0.42
177457.74,-1083.72,-0.22
177520.82,-1084.1,-0.38
177561.08,-1084.28,-0.18
177624.33,-1084.66,-0.38
177665.36,-1084.89,-0.23
177729.02,-1085.27,-0.38
177792.34,-1085.68,-0.41
177827.75,-1085.82,-0.14
177891.12,-1086.26,-0.44
177933.64,-1086.5,-0.24
177996.86,-1086.89,-0.39
178044.6,-1087.07,-0.18
178107.6,-1087.48,-0.41
178148.15,-1087.68,-0.2
178191.76,-1087.3,0.38
178211.84,-1087.97,-0.67
178274.65,-1088.24,-0.27
178338.28,-1088.62,-0.38
178384.65,-1088.9,-0.28
178448.15,-1089.2,-0.3
178448.38,-1089.18,0.02
178483.17,-1089.33,-0.15
178532.8,-1088.8,0.53
178546.43,-1089.66,-0.86
178609.83,-1090.17,-0.51
178648.38,-1090.37,-0.2
178712.03,-1090.78,-0.41
178775.66,-1091.08,-0.3
178814.86,-1091.28,-0.2
178852.43,-1091.48,-0.2
178915.81,-1091.81,-0.33
178955.35,-1090.84,0.97
178979.42,-1092.37,-1.53
179043.27,-1092.72,-0.35
179107.08,-1093.19,-0.47
179170.44,-1093.7,-0.51
179202.16,-1093.87,-0.17
179234.13,-1094.04,-0.17
179297.89,-1094.41,-0.37
179361.8,-1094.79,-0.38
179408.77,-1094.96,-0.17
179425.54,-1095.02,-0.06
179489.01,-1095.39,-0.37
179540.86,-1095.67,-0.28
179604.69,-1096.01,-0.34
179668.03,-1096.37,-0.36
179723.28,-1096.64,-0.27
179780.77,-1096.89,-0.25
179806.69,-1099.19,-2.3
179833.66,-1097.18,2.01
179896.94,-1097.52,-0.34
179960.11,-1097.88,-0.36
180023.4,-1098.17,-0.29
180076.51,-1098.53,-0.36
180140.57,-1098.78,-0.25
180204.41,-1099.19,-0.41
180208.77,-1099.24,-0.05
180267.67,-1099.52,-0.28
180330.87,-1099.89,-0.37
180393.71,-1100.16,-0.27
180457.28,-1100.52,-0.36
180520.6,-1100.83,-0.31
180583.74,-1101.21,-0.38
180647.14,-1101.52,-0.31
180710.38,-1101.87,-0.35
180774.2,-1102.28,-0.41
180837.63,-1102.54,-0.26
180900.83,-1102.9,-0.36
180964.16,-1103.21,-0.31
181027.38,-1103.55,-0.34
181076.06,-1103.8,-0.25
181139.34,-1104.11,-0.31
181194.21,-1104.44,-0.33
181257.36,-1104.82,-0.38
181317.5,-1105.11,-0.29
181381.61,-1105.32,-0.21
181445.5,-1105.7,-0.38
181508.69,-1105.95,-0.25
181571.85,-1106.41,-0.46
181635.68,-1106.66,-0.25
181699.07,-1107.03,-0.37
181762.99,-1107.26,-0.23
181826.13,-1107.67,-0.41
181889.08,-1107.93,-0.26
181903.53,-1108.03,-0.1
181952.2,-1108.35,-0.32
182015.49,-1108.62,-0.27
182078.47,-1109.01,-0.39
182142.32,-1109.37,-0.36
182206.13,-1109.71,-0.34
182267.64,-1109.98,-0.27
182331.47,-1110.34,-0.36
182395.33,-1111,-0.66
182459.03,-1111.35,-0.35
182522.88,-1111.59,-0.24
182586.71,-1111.92,-0.33
182650.63,-1112.22,-0.3
182714.46,-1112.68,-0.46
182758.16,-1110.8,1.88
182777.47,-1113.02,-2.22
182841.17,-1113.39,-0.37
182905.09,-1113.65,-0.26
182968.81,-1114.04,-0.39
182993.31,-1114.24,-0.2
183032.82,-1114.28,-0.04
183096.61,-1114.7,-0.42
183142.46,-1114.91,-0.21
183174.4,-1115.07,-0.16
183206.17,-1115.27,-0.2
183229.54,-1115.54,-0.27
183269.91,-1116.23,-0.69
183333.69,-1117.54,-1.31
183397.57,-1118.16,-0.62
183461.36,-1118.75,-0.59
183461.43,-1118.79,-0.04
183525.21,-1119.1,-0.31
183588.99,-1119.56,-0.46
183652.84,-1119.9,-0.34
183716.58,-1120.27,-0.37
183780.5,-1120.61,-0.34
183844.28,-1120.94,-0.33
183908.08,-1121.6,-0.66
183971.22,-1121.99,-0.39
184035.04,-1122.29,-0.3
184098.93,-1122.68,-0.39
184162.3,-1122.94,-0.26
184226.12,-1123.4,-0.46
184290.1,-1124.27,-0.87
184353.81,-1124.55,-0.28
184416.77,-1124.92,-0.37
184480.42,-1125.22,-0.3
184543.7,-1125.78,-0.56
184606.76,-1126.25,-0.47
184669.21,-1127.34,-1.09
184733.23,-1127.69,-0.35
184787.28,-1127.99,-0.3
184836.55,-1128.21,-0.22
184891.72,-1128.89,-0.68
184942.08,-1129.1,-0.21
185005.12,-1129.42,-0.32
185068.51,-1129.74,-0.32
185101.06,-1131.75,-2.01
185105.19,-1130.02,1.73
185131.96,-1130.12,-0.1
185167.15,-1130.35,-0.23
185195.24,-1130.5,-0.15
185233.2,-1131.18,-0.68
185296.41,-1131.64,-0.46
185339.65,-1131.78,-0.14
185394.88,-1132.14,-0.36
185457.67,-1132.66,-0.52
185520.95,-1133.04,-0.38
185584.25,-1133.34,-0.3
185647.42,-1134.03,-0.69
185690.8,-1134.41,-0.38
185754.69,-1135.48,-1.07
185817.82,-1135.84,-0.36
185881.06,-1136.24,-0.4
185944.69,-1136.57,-0.33
185999.38,-1136.8,-0.23
186052.11,-1137.17,-0.37
186105.78,-1137.52,-0.35
186169.55,-1137.82,-0.3
186233.16,-1139.14,-1.32
186297.23,-1139.67,-0.53
186360.46,-1139.95,-0.28
186423.75,-1140.35,-0.4
186486.94,-1141.12,-0.77
186549.7,-1141.46,-0.34
186613.02,-1141.91,-0.45
186676.87,-1142.61,-0.7
186740.03,-1143.03,-0.42
186803.56,-1143.27,-0.24
186866.55,-1143.71,-0.44
186930.27,-1144.04,-0.33
186993.96,-1144.46,-0.42
187057.73,-1144.81,-0.35
187121.55,-1145.18,-0.37
187185.31,-1145.94,-0.76
187249.05,-1146.32,-0.38
187312.76,-1146.59,-0.27
187375.72,-1147.02,-0.43
187438.72,-1147.8,-0.78
187483.52,-1148.1,-0.3
187547.41,-1148.48,-0.38
187610.55,-1148.84,-0.36
187656.84,-1149.08,-0.24
187720.02,-1150.1,-1.02
187783.75,-1150.43,-0.33
187838.13,-1150.76,-0.33
187901.95,-1151.2,-0.44
187948.22,-1151.46,-0.26
188011.85,-1151.91,-0.45
188075.56,-1152.75,-0.84
188139.17,-1153.12,-0.37
188202.92,-1153.48,-0.36
188266.69,-1153.77,-0.29
188330.37,-1154.14,-0.37
188394.02,-1154.46,-0.32
188457.69,-1154.82,-0.36
188521.26,-1155.11,-0.29
188579.25,-1155.47,-0.36
188628.49,-1155.72,-0.25
188691.58,-1156.25,-0.53
188755.42,-1156.67,-0.42
188819.36,-1157.2,-0.53
188826.27,-1157.23,-0.03
188883.16,-1157.52,-0.29
188947.19,-1157.95,-0.43
189010.86,-1158.26,-0.31
189074.71,-1158.67,-0.41
189138.49,-1158.89,-0.22
189202.51,-1159.56,-0.67
189266.52,-1159.85,-0.29
189330.28,-1160.22,-0.37
189388.8,-1160.55,-0.33
189394.12,-1160.58,-0.03
189444.6,-1160.93,-0.35
189482.12,-1161.08,-0.15
189511.23,-1161.22,-0.14
189556.19,-1161.46,-0.24
189565.94,-1161.51,-0.05
189619.89,-1161.94,-0.43
189671.32,-1162.22,-0.28
189724.44,-1163.48,-1.26
189779.29,-1163.89,-0.41
189818.17,-1164.14,-0.25
189872.61,-1164.98,-0.84
189917.15,-1165.29,-0.31
189926.49,-1165.36,-0.07
189974.74,-1165.61,-0.25
189974.75,-1165.61,2.91E-11
189982.83,-1165.64,-0.03
189982.84,-1165.64,0
190029.5,-1165.93,-0.29
190071.93,-1166.2,-0.27
190115.49,-1166.59,-0.39
190167.56,-1166.92,-0.33
190221.48,-1167.27,-0.35
190221.49,-1167.27,-2.91E-11
190246.32,-1167.43,-0.16
190246.33,-1167.42,0.01
190248.43,-1167.45,-0.03
190252.5,-1167.5,-0.05
190252.51,-1167.49,0.01
190282.52,-1168.02,-0.53
190323.76,-1168.87,-0.85
190354.9311,-1168.988917,-0.118916865
190358.92,-1169.004134,-0.015217613
190365.7,-1169.03,-0.025865522
190405.25,-1169.3,-0.27
190447.28,-1169.35,-0.05
190489.3,-1169.43,-0.08
190530.3,-1169.53,-0.1
190560.33,-1169.61,-0.08
190563.26,-1169.62,-0.01
190566.3,-1169.58,0.04
190581.2,-1169.94,-0.36
190584.12,-1170.04,-0.1
190587.16,-1169.89,0.15
190587.18,-1169.87,0.02
190593.13,-1169.79,0.08
190593.14,-1169.78,0.01
190620.37,-1170.16,-0.38
190673.88,-1170.69,-0.53
190737.78,-1170.96,-0.27
190794.74,-1171.3,-0.34
190849.64,-1171.57,-0.27
190913.58,-1171.91,-0.34
190977.37,-1172.37,-0.46
191040.62,-1172.68,-0.31
191103.96,-1173.05,-0.37
191167.9,-1173.34,-0.29
191231.67,-1173.7,-0.36
191295.31,-1173.95,-0.25
191358.37,-1174.29,-0.34
191422.53,-1174.57,-0.28
191486.19,-1174.89,-0.32
191550.13,-1175.18,-0.29
191613.7,-1175.49,-0.31
191677.53,-1175.84,-0.35
191741.33,-1176.11,-0.27
191805.49,-1176.52,-0.41
191869.39,-1176.78,-0.26
191923.57,-1176.98,-0.2
191980.55,-1177.3,-0.32
192023.63,-1177.49,-0.19
192065.29,-1177.72,-0.23
192122.81,-1177.98,-0.26
192176.82,-1178.25,-0.27
192230.12,-1178.59,-0.34
192282.84,-1178.8,-0.21
192336.25,-1179.11,-0.31
192390.42,-1179.27,-0.16
192443.84,-1179.54,-0.27
192495.63,-1179.78,-0.24
192549.54,-1180.03,-0.25
192601.22,-1180.3,-0.27
192648.95,-1180.5,-0.2
192689.54,-1180.71,-0.21
192728.19,-1180.9,-0.19
192784.29,-1181.08,-0.18
192838.55,-1181.35,-0.27
192892.26,-1181.59,-0.24
192939.37,-1181.8,-0.21
192989.96,-1182.19,-0.39
192989.97,-1182.18,0.01
193043.78,-1182.47,-0.29
193043.79,-1182.46,0.01
193098,-1182.71,-0.25
193148.9,-1182.98,-0.27
193201.62,-1183.26,-0.28
193265.35,-1183.62,-0.36
193328.04,-1183.77,-0.15
193382.45,-1184.07,-0.3
193435.57,-1184.33,-0.26
193491.34,-1184.62,-0.29
193546.52,-1184.94,-0.32
193599.87,-1185.12,-0.18
193654.1,-1185.42,-0.3
193713.19,-1185.65,-0.23
193777.12,-1186.09,-0.44
193841.16,-1186.44,-0.35
193904.96,-1186.78,-0.34
193968.23,-1187.13,-0.35
194032,-1187.5,-0.37
194095.82,-1187.81,-0.31
194159.05,-1188.14,-0.33
194222.82,-1188.28,-0.14
194285.46,-1188.63,-0.35
194348.17,-1188.91,-0.28
194410.66,-1189.28,-0.37
194474.33,-1189.55,-0.27
194537.6,-1189.95,-0.4
194600.85,-1190.31,-0.36
194664.15,-1190.66,-0.35
194727.36,-1190.95,-0.29
194790.65,-1191.25,-0.3
194842.96,-1191.41,-0.16
194906.24,-1191.79,-0.38
194970.12,-1192.06,-0.27
195024.55,-1192.38,-0.32
195087.8,-1192.61,-0.23
195151.07,-1193.02,-0.41
195214.49,-1193.34,-0.32
195278.19,-1193.66,-0.32
195331.89,-1193.9,-0.24
195395.1,-1194.28,-0.38
195458.44,-1194.61,-0.33
195522.01,-1194.96,-0.35
195575.31,-1195.22,-0.26
195580.44,-1195.25,-0.03
195585.17,-1196.05,-0.8
195589.37,-1196.75,-0.7
195643.25,-1195.56,1.19
195707.11,-1195.79,-0.23
195757.29,-1196.04,-0.25
195810.97,-1196.25,-0.21
195865.57,-1196.53,-0.28
195929.24,-1196.69,-0.16
195982.89,-1196.91,-0.22
196046.22,-1197.17,-0.26
196109.97,-1197.51,-0.34
196173.28,-1197.79,-0.28
196237.01,-1198.18,-0.39
196300.35,-1198.37,-0.19
196364.14,-1198.63,-0.26
196427.08,-1198.92,-0.29
196491.17,-1199.25,-0.33
196555.47,-1199.49,-0.24
196618.63,-1199.84,-0.35
196681.93,-1200.07,-0.23
196744.79,-1200.39,-0.32
196807.96,-1200.61,-0.22
196871.66,-1200.92,-0.31
196915.6,-1201.08,-0.16
196979.21,-1201.37,-0.29
197043.03,-1201.66,-0.29
197107.08,-1201.96,-0.3
197171.17,-1202.15,-0.19
197234.87,-1202.45,-0.3
197291.78,-1202.72,-0.27
197342.74,-1202.94,-0.22
197406.87,-1203.26,-0.32
197470.82,-1203.52,-0.26
197534.7,-1203.83,-0.31
197598.65,-1204.19,-0.36
197662.58,-1204.51,-0.32
197726.73,-1204.82,-0.31
197790.86,-1205.05,-0.23
197851.81,-1205.28,-0.23
197905.28,-1205.5,-0.22
197969.27,-1205.85,-0.35
198032.36,-1206.17,-0.32
198096.14,-1206.5,-0.33
198160.04,-1206.76,-0.26
198190.16,-1206.85,-0.09
198202.36,-1206.99,-0.14
198219.06,-1207.63,-0.64
198266.24,-1208.29,-0.66
198330.5,-1209.8,-1.51
198377.88,-1210.2,-0.4
198426.12,-1211.14,-0.94
198490.39,-1211.54,-0.4
198554.47,-1211.9,-0.36
198618.08,-1212.32,-0.42
198681.83,-1214.06,-1.74
198745.25,-1214.59,-0.53
198808.6,-1214.86,-0.27
198872.22,-1215.42,-0.56
198880.19,-1215.48,-0.06
198936.25,-1215.89,-0.41
199000.11,-1216.34,-0.45
199064.22,-1217.42,-1.08
199127.45,-1217.88,-0.46
199190.58,-1218.19,-0.31
199254.59,-1218.56,-0.37
199318.49,-1218.86,-0.3
199382.25,-1219.17,-0.31
199446.18,-1219.92,-0.75
199510.02,-1220.52,-0.6
199573.88,-1221.1,-0.58
199637.36,-1221.48,-0.38
199701.3,-1221.86,-0.38
199765.23,-1222.31,-0.45
199828.49,-1222.7,-0.39
199892.44,-1223.03,-0.33
199956.33,-1223.46,-0.43
200020.41,-1224.18,-0.72
200084.32,-1224.96,-0.78
200148.32,-1225.3,-0.34
200195.3,-1225.62,-0.32
200254.88,-1225.85,-0.23
200318.55,-1226.28,-0.43
200382.49,-1226.55,-0.27
200446.37,-1227.12,-0.57
200510.32,-1227.46,-0.34
200574.26,-1228.55,-1.09
200638.16,-1229.48,-0.93
200701.92,-1230.28,-0.8
200765.49,-1230.63,-0.35
200811.68,-1231.67,-1.04
200875.51,-1232.47,-0.8
200939.24,-1232.94,-0.47
201003.11,-1233.35,-0.41
201067.39,-1233.69,-0.34
201131.36,-1234.08,-0.39
201195.21,-1234.44,-0.36
201253.96,-1234.73,-0.29
201317.9,-1235.57,-0.84
201381.7,-1236.02,-0.45
201445.77,-1236.33,-0.31
201458.2,-1235.58,0.75
201496.34,-1235.69,-0.11
201509.1,-1236.64,-0.95
201573.19,-1236.92,-0.28
201634.56,-1237.15,-0.23
201697.42,-1237.45,-0.3
201760.12,-1237.72,-0.27
201802.24,-1237.95,-0.23
201856.64,-1238.1,-0.15
201912.04,-1238.39,-0.29
201975.84,-1238.63,-0.24
202039.39,-1238.98,-0.35
202103.06,-1239.25,-0.27
202166.39,-1239.61,-0.36
202229.73,-1239.88,-0.27
202283.85,-1240.21,-0.33
202337.23,-1240.39,-0.18
202400.92,-1240.67,-0.28
202464.44,-1240.93,-0.26
202527.91,-1241.29,-0.36
202591.2,-1241.55,-0.26
202654.84,-1241.85,-0.3
202718.58,-1242.06,-0.21
202781.47,-1242.41,-0.35
202845.08,-1242.6,-0.19
202908.44,-1242.91,-0.31
202972.23,-1243.11,-0.2
203035.81,-1243.56,-0.45
203041.9,-1243.63,-0.07
203052.83,-1243.76,-0.13
203059.81,-1243.81,-0.05
203066.18,-1243.86,-0.05
203067.66,-1244.38,-0.52
203068.13,-1244.23,0.15
203069.22,-1243.89,0.34
203070.3,-1243.6,0.29
203070.73,-1243.49,0.11
203072.24,-1243.94,-0.45
203077.36,-1244,-0.06
203085.74,-1244.09,-0.09
203094.19,-1244.13,-0.04
203123.89,-1244.28,-0.15
203132.34,-1244.34,-0.06
203196.44,-1244.52,-0.18
203259.86,-1244.85,-0.33
203323.73,-1245.1,-0.25
203387.51,-1245.38,-0.28
203451.04,-1245.85,-0.47
203514.58,-1246.27,-0.42
203578.03,-1246.59,-0.32
203641.67,-1247.12,-0.53
203705.18,-1247.43,-0.31
203768.46,-1247.88,-0.45
203831.93,-1248.21,-0.33
203895.79,-1248.56,-0.35
203959.19,-1248.86,-0.3
204022.64,-1249.17,-0.31
204086.51,-1249.48,-0.31
204150.03,-1249.81,-0.33
204213.86,-1250.11,-0.3
204277.56,-1250.43,-0.32
204286.3,-1250.68,-0.25
204341.25,-1250.73,-0.05
204404.96,-1251.04,-0.31
204468.93,-1251.28,-0.24
204532.29,-1251.66,-0.38
204595.28,-1251.98,-0.32
204658.97,-1252.3,-0.32
204720.24,-1252.55,-0.25
204783.71,-1252.94,-0.39
204847.28,-1253.25,-0.31
204872.17,-1255.37,-2.12
204910.75,-1253.62,1.75
204974.61,-1253.92,-0.3
205034.45,-1254.22,-0.3
205034.46,-1254.21,0.01
205036.01,-1254.22,-0.01
205078.32,-1254.09,0.13
205120.1,-1254.59,-0.5
205161.78,-1255.19,-0.6
205203.3,-1255.7,-0.51
205245.42,-1255.79,-0.09
205246.93,-1255.85,-0.06
205246.94,-1255.84,0.01
205306.75,-1256.8,-0.96
205370.09,-1258.17,-1.37
205422.21,-1258.4,-0.23
205434.11,-1259.28,-0.88
205497.71,-1260.86,-1.58
205561.64,-1262.15,-1.29
205625.4,-1263.88,-1.73
205689.13,-1265.36,-1.48
205752.87,-1265.81,-0.45
205816.81,-1266.13,-0.32
205880.55,-1267.54,-1.41
205944.32,-1268.87,-1.33
205970.57,-1268.39,0.48
206008.32,-1269.19,-0.8
206072.22,-1269.49,-0.3
206135.86,-1269.85,-0.36
206199.21,-1270.2,-0.35
206263.13,-1270.51,-0.31
206327.1,-1270.85,-0.34
206390.64,-1271.14,-0.29
206454.45,-1271.64,-0.5
206518.29,-1272,-0.36
206582.06,-1273.09,-1.09
206645.95,-1274.43,-1.34
206688.27,-1272.49,1.94
206709.64,-1275.25,-2.76
206773.41,-1276.76,-1.51
206837.22,-1278.37,-1.61
206883.32,-1276.97,1.4
206900.52,-1279.66,-2.69
206946.3868,-1280.813158,-1.153157572
206935.26,-1280.533413,0.279744624
206964.16,-1281.26,-0.726587052
207027.94,-1282.47,-1.21
207091.67,-1283.94,-1.47
207155.4,-1284.32,-0.38
207219.08,-1284.6,-0.28
207283.07,-1285.24,-0.64
207346.71,-1285.59,-0.35
207390.87,-1285.99,-0.4
207410.6,-1286.17,-0.18
207474.29,-1286.6,-0.43
207538.1,-1287.5,-0.9
207601.63,-1288.86,-1.36
207665.4,-1289.92,-1.06
207729.02,-1291.3,-1.38
207792.72,-1293.14,-1.84
207856.73,-1294.71,-1.57
207920.96,-1296.49,-1.78
207984.79,-1297.58,-1.09
208048.68,-1298.81,-1.23
208112.12,-1300.32,-1.51
208175.96,-1301.07,-0.75
208240.07,-1302.13,-1.06
208303.67,-1302.43,-0.3
208320.76,-1302.59,-0.16
208367.47,-1303.02,-0.43
208431.3,-1303.56,-0.54
208495,-1304.19,-0.63
208558.76,-1305.09,-0.9
208622.54,-1306.67,-1.58
208686.4,-1307.89,-1.22
208750.22,-1309.23,-1.34
208794.96,-1310.35,-1.12
208858.8,-1312.08,-1.73
208922.59,-1313.22,-1.14
208986.44,-1314.23,-1.01
209050.23,-1315.77,-1.54
209114.13,-1317.4,-1.63
209177.94,-1318.09,-0.69
209241.25,-1319.41,-1.32
209305.16,-1320.76,-1.35
209368.54,-1322.03,-1.27
209432.2,-1323.69,-1.66
209495.96,-1325.38,-1.69
209559.64,-1326.89,-1.51
209623.48,-1328.6,-1.71
209687.47,-1330.19,-1.59
209751.22,-1331.85,-1.66
209814.93,-1332.88,-1.03
209878.9,-1334.62,-1.74
209942.43,-1336.11,-1.49
209995.85,-1336.95,-0.84
210034.27,-1337.76,-0.81
210098.05,-1339.18,-1.42
210161.89,-1340.27,-1.09
210225.73,-1341.68,-1.41
210280.86,-1342.88,-1.2
210335.09,-1344.08,-1.2
210380.07,-1345.3,-1.22
210443.17,-1346.83,-1.53
210506.76,-1348.52,-1.69
210570.63,-1350.19,-1.67
210624.88,-1351.5,-1.31
210688.59,-1353.17,-1.67
210752.12,-1354.95,-1.78
210810.53,-1356.49,-1.54
210874.11,-1357.95,-1.46
210937.67,-1359.71,-1.76
211001.43,-1361.09,-1.38
211065.28,-1362.49,-1.4
211128.69,-1363.67,-1.18
211183.69,-1364.96,-1.29
211241.48,-1366.2,-1.24
211305.1,-1367.66,-1.46
211368.58,-1369.28,-1.62
211432.16,-1371.07,-1.79
211495.14,-1372.7,-1.63
211558.71,-1374.31,-1.61
211612.71,-1375.59,-1.28
211667,-1376.95,-1.36
211730.73,-1378.11,-1.16
211794.49,-1379.78,-1.67
211847.47,-1381.11,-1.33
211911.42,-1382.49,-1.38
