RC2-after,,
wcAi,DF,1st Diff
15223.7,-129.38,-0.63
15287.59,-129.87,-0.49
15351.65,-130.17,-0.3
15415.74,-130.54,-0.37
15479.43,-131.12,-0.58
15543,-131.9,-0.78
15606.83,-132.47,-0.57
15670.89,-132.82,-0.35
15734.72,-133.29,-0.47
15798.02,-133.72,-0.43
15861.74,-134.21,-0.49
15925.51,-134.6,-0.39
15989.31,-135.14,-0.54
16053.29,-135.52,-0.38
16107.52,-135.89,-0.37
16170.91,-136.32,-0.43
16219.03,-136.57,-0.25
16282.87,-137.2,-0.63
16320.75,-137.34,-0.14
16365.47,-136.39,0.95
16384.39,-138.31,-1.92
16448.22,-138.75,-0.44
16459.73,-138.85,-0.1
16504.47,-136.51,2.34
16522.94,-138.82,-2.31
16586.79,-139.31,-0.49
16650.6,-140.15,-0.84
16714.52,-140.52,-0.37
16774.88,-140.99,-0.47
16838.76,-141.23,-0.24
16902.7,-141.73,-0.5
16966.45,-142.31,-0.58
17030.25,-142.81,-0.5
17094.23,-143.27,-0.46
17157.98,-143.96,-0.69
17169.95,-144.05,-0.09
17221.82,-144.42,-0.37
17285.25,-145.34,-0.92
17348.7,-146.28,-0.94
17388.18,-146.65,-0.37
17451.97,-147.14,-0.49
17514.89,-148.04,-0.9
17553.05,-148.42,-0.38
17558.18,-148.52,-0.1
17566.04,-148.56,-0.04
17566.9,-148.56,0
17566.91,-148.56,-3.64E-12
17569.04,-147.11,1.45
17576.47,-148.66,-1.55
17583.28,-148.74,-0.08
17628.16,-149.24,-0.5
17673.41,-149.37,-0.13
17718.61,-149.49,-0.12
17763.74,-149.76,-0.27
17778.05,-148.81,0.95
17808.82,-149.96,-1.15
17853.93,-150.16,-0.2
17872.15,-150.21,-0.05
17896.7,-150.59,-0.38
17940.79,-150.87,-0.28
17975.35,-151.18,-0.31
17984.99,-151.13,0.05
18020.67,-151.49,-0.36
18027.23,-151.59,-0.1
18045.94,-151.27,0.32
18055.52,-151.82,-0.55
18100.73,-152.04,-0.22
18145.92,-152.18,-0.14
18190.95,-152.53,-0.35
18227.83,-152.73,-0.2
18248.51,-152.82,-0.09
18263.29,-152.91,-0.09
18263.3,-152.91,0
18305.37,-153.04,-0.13
18310.3,-153.07,-0.03
18315.87,-153.16,-0.09
18379.06,-153.65,-0.49
18442.08,-154.31,-0.66
18452.22,-154.4,-0.09
18506.43,-155,-0.6
18569.77,-155.53,-0.53
18633.33,-155.97,-0.44
18697.26,-156.37,-0.4
18760.98,-156.66,-0.29
18810.3,-157.02,-0.36
18873.3,-157.43,-0.41
18905.78247,-157.5875339,-0.157533863
