RC3-before,,
wcAi,Distortion,1st Ord Diff
5990.34,-4.02,-0.02
6027.65,-4.02,-9.09E-13
6068,-3.99,0.03
6108.29,-3.99,0
6148.6,-3.99,0
6187.54,-3.97,0.02
6188.93,-3.97,9.09E-13
6229.24,-3.98,-0.01
6269.55,-3.99,-0.01
6309.92,-3.95,0.04
6311.85,-4.02,-0.07
6313.84,-4,0.02
6316.12,-3.97,0.03
6317.42,-4.1,-0.13
6328.26,-4.02,0.08
6365.45,-4.14,-0.12
6402.28,-4.25,-0.11
6402.67,-4.18,0.07
6436.49,-4.19,-0.01
6438.35,-4.29,-0.1
6440.44,-4.18,0.11
6477.84,-4.2,-0.02
6515.08,-4.28,-0.08
6535.48,-4.3,-0.02
6554.31,-4.29,0.01
6575.81,-4.27,0.02
6613.11,-4.26,0.01
6638.75,-3.32,0.94
6650.4,-4.27,-0.95
6690.7,-4.29,-0.02
6728.02,-4.27,0.02
6765.28,-4.3,-0.03
6786.68,-5.69,-1.39
6802.61,-4.28,1.41
6842.89,-4.31,-0.03
6880.21,-4.29,0.02
6917.53,-4.28,0.01
6954.83,-4.27,0.01
6992.09,-4.29,-0.02
7029.34,-4.31,-0.02
7066.69,-4.27,0.04
7103.96,-4.3,-0.03
7137.47,-3.36,0.94
7141.22,-4.32,-0.96
7178.52,-4.31,0.01
7215.77,-4.34,-0.03
7253.03,-4.35,-0.01
7290.32,-4.33,0.02
7327.54,-4.39,-0.06
7364.81,-4.43,-0.04
7402.09,-4.42,0.01
7442.34,-4.46,-0.04
7482.56,-4.52,-0.06
7519.87,-4.51,0.01
7557.14,-4.55,-0.04
7594.39,-4.61,-0.06
7631.7,-4.6,0.01
7668.95,-4.63,-0.03
7709.2,-4.62,0.01
7746.5,-4.62,0
7786.79,-4.63,-0.01
7807.95,-4.65,-0.02
7810.71,-4.68,-0.03
7824.87,-4.59,0.09
7857.86,-4.62,-0.03
7862.22,-4.65,-0.03
7870.64,-4.22,0.43
7879.2,-4.75,-0.53
7919.07,-4.98,-0.23
7964.3,-5.07,-0.09
8009.57,-5.13,-0.06
8054.83,-5.19,-0.06
8100.08,-5.27,-0.08
8145.32,-5.36,-0.09
8190.63,-5.34,0.02
