RC4-before,,
wcAi,Distortion,1st Diff
8157.1,-1.55,0
8159.12,-1.56,-0.01
8160.54,-1.56,0
8162.62,-1.56,0
8195.69,-1.57,-0.01
8239.33,-1.67,-0.1
8283.08,-1.78,-0.11
8326.85,-1.89,-0.11
8347.68,-1.92,-0.03
8352.69,-1.92,0
8353.26,-1.89,0.03
8353.91,-1.85,0.04
8358.85,-1.85,0
8378.15,-1.86,-0.01
8421.9,-1.61,0.25
8465.56,-1.38,0.23
8470.57,-1.36,0.02
8472.05,-1.35,0.01
8509.2,-1.18,0.17
8550.76,-0.95,0.23
8592.42,-1.07,-0.12
8635.96,-1.18,-0.11
8679.62,-1.15,0.03
8723.34,-1.21,-0.06
8767.06,-1.15,0.06
8810.69,-1.15,0
8854.34,-1.13,0.02
8897.95,-0.57,0.56
8941.65,-0.59,-0.02
8985.37,-0.75,-0.16
9029.07,-0.8,-0.05
9072.46,-0.82,-0.02
9116.23,-0.72,0.1
9159.96,-0.73,-0.01
9203.58,-0.76,-0.03
9247.26,-0.9,-0.14
9290.85,-1.03,-0.13
9334.55,-1.03,-1.82E-12
9378.18,-1.11,-0.08
9421.66,-1.11,0
9465.33,-1.07,0.04
9509.03,-0.87,0.2
9552.61,-0.84,0.03
9596.29,-0.21,0.63
9640,-0.21,0
9683.29,0.07,0.28
9726.99,0.07,-1.82E-12
9770.73,0.17,0.1
9810.62,0.34,0.17
9811.08,0.3,-0.04
9811.53,0.26,-0.04
9819.09,0.3,0.04
9824.1,0.36,0.06
9824.66,0.37,0.01
9825.29,0.4,0.03
9830.2,0.32,-0.08
9873.81,0.19,-0.13
9917.34,0.26,0.07
9961.08,0.64,0.38
10004.81,0.65,0.01
10048.53,0.94,0.29
10092.24,0.99,0.05
10136.01,1.15,0.16
10179.78,1.28,0.13
10223.5,1.42,0.14
10244.23,1.47,0.05
10267.21,1.52,0.05
10310.45,1.58,0.06
10354.16,1.62,0.04
10397.89,1.77,0.15
10441.35,1.77,1.82E-12
10485.01,1.85,0.08
10528.74,1.98,0.13
10572.41,2.08,0.1
10616.06,2.15,0.07
10659.71,2.14,-0.01
10703.39,1.97,-0.17
10747.04,2.12,0.15
10790.74,1.94,-0.18
10834.39,2.1,0.16
10878.09,2.25,0.15
10921.93,2.24,-0.01
10965.65,2.2,-0.04
11009.3,2.2,0
11052.9,2.35,0.15
11096.58,2.61,0.26
11140.27,2.74,0.13
11184,2.77,0.03
11227.71,3.05,0.28
11271.49,3.15,0.1
11294.39,3.35,0.2
11338.16,3.47,0.12
11381.96,3.59,0.12
11425.75,3.51,-0.08
11430.75,3.54,0.03
11431.31,3.61,0.07
11431.9,3.68,0.07
11437.18,3.9,0.22
11443.24,3.81,-0.09
11486.95,4,0.19
11530.68,3.97,-0.03
11574.51,4.01,0.04
11618.31,4.12,0.11
11662.1,4.22,0.1
11705.9,4.2,-0.02
11749.66,4.37,0.17
11793.45,4.45,0.08
11837.28,4.43,-0.02
11881.07,4.62,0.19
11924.84,4.65,0.03
11968.45,4.66,0.01
12008.59,4.65,-0.01
12052.43,4.71,0.06
12096.19,4.72,0.01
12139.96,4.78,0.06
12183.67,4.95,0.17
12227.46,5.11,0.16
12271,5.21,0.1
12314.37,5.74,0.53
12314.74,5.46,-0.28
12358.44,5.66,0.2
12402.07,5.72,0.06
12445.77,5.93,0.21
12489.52,6.06,0.13
12533.31,6.3,0.24
12577.08,6.49,0.19
12620.87,6.53,0.04
12664.67,6.56,0.03
12708.47,6.46,-0.1
12752.28,6.77,0.31
12796.09,6.86,0.09
12839.9,6.87,0.01
12883.38,6.77,-0.1
12927.2,6.94,0.17
12944.99,6.91,-0.03
12971,6.86,-0.05
13014.81,7.01,0.15
13058.63,7.05,0.04
13099.8,7.1,0.05
13104.81,7.04,-0.06
13105.38,7.16,0.12
13105.96,7.02,-0.14
13110.97,7.05,0.03
13111.24,7.05,0
13154.77,7.11,0.06
13198.63,7.25,0.14
13199.36,7.16,-0.09
13200.19,7.04,-0.12
13207.6,7.38,0.34
13229.21,7.44,0.06
13229.71,7.43,-0.01
13230.29,7.42,-0.01
13234.38,7.43,0.01
13239.38,7.47,0.04
13240.14,7.53,0.06
13240.94,7.37,-0.16
13250.48,7.46,0.09
13253.25,7.48,0.02
13254.31,7.47,-0.01
13255.03,7.31,-0.16
13255.88,7.35,0.04
13256.82,7.44,0.09
13257.88,7.43,-0.01
13259.07,7.48,0.05
