RC1-A,
,
absolute_odometer,feature_type
-0.79,Weld
-0.77,refpoint3
-0.52,refpoint3
0,refpoint5
0.56,refpoint3
0.73,Weld
0.97,refpoint4
2.37,refpoint5
5.57,refpoint2
8.8,Weld
13.4,refpoint2
16.52,Weld
39.92,refpoint1
40.08,Weld
40.2,refpoint1
60.9,refpoint1
61.05,Weld
61.17,refpoint1
86.34,refpoint1
86.46,Weld
86.61,refpoint1
112.38,refpoint1
112.55,Weld
112.68,refpoint1
136.72,refpoint1
136.94,Weld
137.13,refpoint1
160.92,refpoint1
161.14,Weld
161.35,refpoint1
185.82,Weld
186.77,Weld
231.13,Weld
275.59,Weld
276.76,Weld
285.83,refpoint1
286.06,Weld
286.26,refpoint1
311.35,refpoint1
311.58,Weld
311.76,refpoint1
317.75,refpoint2
336.62,refpoint1
336.76,Weld
336.9,refpoint1
361.92,refpoint1
362.05,Weld
362.2,refpoint1
386.63,refpoint1
386.77,Weld
386.9,refpoint1
409.98,refpoint1
410.13,Weld
410.24,refpoint1
434.31,refpoint1
434.46,Weld
434.6,refpoint1
444.15,Weld
451.64,Weld
471.7,Weld
492.48,Weld
513.72,Weld
535.23,Weld
556.16,Weld
576.64,refpoint1
576.78,Weld
576.94,refpoint1
600.91,refpoint1
601.07,Weld
601.19,refpoint1
624.76,Weld
627.02,Weld
634.14,Weld
654.85,Weld
675.63,Weld
696.83,Weld
707.98,refpoint2
708.37,refpoint2
715.01,refpoint2
716.86,Weld
741.38,Weld
763.31,Weld
784.98,Weld
789.61,refpoint4
806.77,Weld
824.91,refpoint1
825.07,Weld
825.21,refpoint1
843.67,Weld
862.68,refpoint2
865.54,Weld
865.56,refpoint3
868.81,Weld
883.69,Weld
894.19,Weld
894.21,refpoint3
916.78,Weld
918.59,Weld
918.61,refpoint3
937.01,Weld
937.03,refpoint3
943.63,Weld
959.31,Weld
962.62,Weld
980.71,Weld
1001.21,Weld
1020.99,Weld
1042.16,Weld
1061.8,Weld
1085.45,refpoint1
1085.59,Weld
1085.73,refpoint1
1109.66,refpoint1
1109.82,Weld
1109.96,refpoint1
1134.6,refpoint1
1134.7,Weld
1134.78,refpoint1
1152.98,refpoint1
1153.12,Weld
1153.25,refpoint1
1174.47,refpoint1
1174.65,Weld
1174.78,refpoint1
1199.63,Weld
1203.16,Weld
1225.01,Weld
1249.05,refpoint1
1249.17,Weld
1249.3,refpoint1
1272.52,refpoint1
1272.66,Weld
1272.8,refpoint1
1291.01,refpoint2
1297.77,refpoint1
1297.92,Weld
1298.05,refpoint1
1313.3,refpoint2
1322.11,refpoint1
1322.22,Weld
1322.36,refpoint1
1343.94,refpoint1
1344.08,Weld
1344.23,refpoint1
1369.16,refpoint1
1369.29,Weld
1369.42,refpoint1
1393.42,refpoint1
1393.55,Weld
1393.69,refpoint1
1418.44,refpoint1
1418.57,Weld
1418.72,refpoint1
1443.24,refpoint1
1443.4,Weld
1443.51,refpoint1
1467.31,refpoint1
1467.45,Weld
1467.58,refpoint1
1492.21,refpoint1
1492.32,Weld
1492.45,refpoint1
1517.19,refpoint1
1517.32,Weld
1517.44,refpoint1
1541.67,refpoint1
1541.8,Weld
1541.92,refpoint1
1566,refpoint1
1566.16,Weld
1566.29,refpoint1
1590.4,refpoint1
1590.55,Weld
1590.69,refpoint1
1615.53,refpoint1
1615.67,Weld
1615.8,refpoint1
1640.03,refpoint1
1640.17,Weld
1640.3,refpoint1
1650.74,refpoint2
1658.71,refpoint2
1665.37,refpoint1
1665.5,Weld
1665.62,refpoint1
1689.79,refpoint1
1689.95,Weld
1690.07,refpoint1
1713.09,refpoint1
1713.23,Weld
1713.36,refpoint1
1737.17,refpoint1
1737.3,Weld
1737.43,refpoint1
1762,refpoint1
1762.11,Weld
1762.23,refpoint1
1786.08,refpoint1
1786.21,Weld
1786.36,refpoint1
1810.49,refpoint1
1810.59,Weld
1810.73,refpoint1
1835.7,refpoint1
1835.85,Weld
1835.97,refpoint1
1847.54,Weld
1854.41,refpoint1
1854.54,Weld
1854.68,refpoint1
1879.54,refpoint1
1879.69,Weld
1879.82,refpoint1
1905.6,refpoint1
1905.72,Weld
1905.88,refpoint1
1930.91,refpoint1
1931.03,Weld
1931.16,refpoint1
1955.75,refpoint1
1955.88,Weld
1956.01,refpoint1
1979.96,refpoint1
1980.07,Weld
1980.21,refpoint1
2004.76,refpoint1
2004.89,Weld
2005.02,refpoint1
2030.12,refpoint1
2030.25,Weld
2030.39,refpoint1
2055.17,refpoint1
2055.32,Weld
2055.45,refpoint1
2081.2,refpoint1
2081.33,Weld
2081.47,refpoint1
2104.23,refpoint1
2104.39,Weld
2104.51,refpoint1
2128.76,refpoint1
2128.88,Weld
2129.03,refpoint1
2154.07,refpoint1
2154.19,Weld
2154.34,refpoint1
2176.86,refpoint1
2177,Weld
2177.13,refpoint1
2201.47,refpoint1
2201.6,Weld
2201.74,refpoint1
2213.27,Weld
2219.44,Weld
2225.62,refpoint1
2225.81,Weld
2226.02,refpoint1
2250.4,refpoint1
2250.53,Weld
2250.68,refpoint1
2271.79,refpoint1
2271.94,Weld
2272.07,refpoint1
